0.000000000000000000e+00,7.984070071001859725e-01,7.732249029243789540e-01,8.230610674435223650e-01,6.923075327003516133e-01,7.876892736169223141e-01,6.783903403294697654e-01,9.653856841450300097e-01,9.774675248960975615e-01,9.414472660830753847e-01,9.527641140467547620e-01,9.792126284582409745e-01,9.914600308693822805e-01
5.050505050505050501e-04,8.524427359562075646e-01,8.145523583320966043e-01,8.349896480331264748e-01,7.444652164530907168e-01,8.625141475601991736e-01,6.749295561499646379e-01,9.792126284582409745e-01,9.914600308693822805e-01,9.653856841450300097e-01,9.774675248960975615e-01,9.793065386021257979e-01,9.914600308693822805e-01
1.010101010101010100e-03,8.417043510905019010e-01,8.000701210222433968e-01,8.336640466113340864e-01,7.358346889316773609e-01,8.367117289261225554e-01,6.758954003724425563e-01,9.793065386021257979e-01,9.914600308693822805e-01,9.792126284582409745e-01,9.914600308693822805e-01,9.793065386021257979e-01,9.914116121841175522e-01
1.515151515151514933e-03,8.330450738269944422e-01,7.898263967560723575e-01,8.310137598710127804e-01,7.294554229466834183e-01,8.190192533186257950e-01,6.767806926749717622e-01,9.793065386021257979e-01,9.914116121841175522e-01,9.793065386021257979e-01,9.914600308693822805e-01,9.793065386021257979e-01,9.914116121841175522e-01
2.020202020202020200e-03,8.247315164365377482e-01,7.820554639706858158e-01,8.270369556056360594e-01,7.223260822654540281e-01,8.028014054516998677e-01,6.777464812676705641e-01,9.793065386021257979e-01,9.914116121841175522e-01,9.793065386021257979e-01,9.914116121841175522e-01,9.793065386021257979e-01,9.914600308693822805e-01
2.525252525252525033e-03,8.074129619095228305e-01,7.665135983999127323e-01,7.915837593213508327e-01,6.941842756125089497e-01,7.699957789163085486e-01,7.808450950030623172e-01,9.793065386021257979e-01,9.914600308693822805e-01,9.793065386021257979e-01,9.914116121841175522e-01,9.779426743586298043e-01,9.914116121841175522e-01
3.030303030303030300e-03,7.942507072413468316e-01,7.566224324767760745e-01,7.866129830154457991e-01,6.840525612509129605e-01,7.511975872766631923e-01,7.907444698005595685e-01,9.779426743586298043e-01,9.914116121841175522e-01,9.793065386021257979e-01,9.914600308693822805e-01,9.778487642147450920e-01,9.914116121841175522e-01
3.535353535353535134e-03,7.835123223756413902e-01,7.488514996913895327e-01,7.799858920097473280e-01,6.757975898014738636e-01,7.364543671503078759e-01,7.955734127640536890e-01,9.778487642147450920e-01,9.914116121841175522e-01,9.779426743586298043e-01,9.914116121841175522e-01,9.777548540708602687e-01,9.914116121841175522e-01
4.040404040404040401e-03,7.720824977638339748e-01,7.396674036861392576e-01,7.753476611883689529e-01,6.664169875838255042e-01,7.198676075749599335e-01,7.942052539800645850e-01,9.777548540708602687e-01,9.914116121841175522e-01,9.778487642147450920e-01,9.914116121841175522e-01,9.777548540708602687e-01,9.914116121841175522e-01
4.545454545454545234e-03,7.623831878628380965e-01,7.340157274225938000e-01,7.836310668938604174e-01,6.487803764690258657e-01,7.047544566470653749e-01,3.515492896224644559e-01,9.777548540708602687e-01,9.914116121841175522e-01,9.777548540708602687e-01,9.914116121841175522e-01,5.354347052401379203e-01,9.914116121841175522e-01
5.050505050505050067e-03,7.526848356346208524e-01,7.255387013352294634e-01,7.799858920097473280e-01,6.408999236438484015e-01,6.900112365207100584e-01,3.451106878785165089e-01,5.354347052401379203e-01,9.914116121841175522e-01,9.777548540708602687e-01,9.914116121841175522e-01,2.209860757744095197e-02,9.914116121841175522e-01
5.555555555555554900e-03,7.436788808252839944e-01,7.181203268928768590e-01,7.756783744663695579e-01,6.318948774981743011e-01,6.767416250418083479e-01,3.486519182813900830e-01,2.209860757744095197e-02,9.914116121841175522e-01,5.354347052401379203e-01,9.914116121841175522e-01,1.544419257262263923e-01,9.914116121841175522e-01
6.060606060606059733e-03,7.346729260159471364e-01,7.103493941074903173e-01,7.624251085582365306e-01,6.281424291215722544e-01,6.645777295950552332e-01,8.613279783959750802e-01,1.544419257262263923e-01,9.914116121841175522e-01,2.209860757744095197e-02,9.914116121841175522e-01,2.548987142978916820e-01,9.913631934988528238e-01
6.565656565656564567e-03,7.253212513335592915e-01,7.022249263631603622e-01,7.581175910148592045e-01,6.191373829758979319e-01,6.527827458567241337e-01,8.561770502718023534e-01,2.548987142978916820e-01,9.913631934988528238e-01,1.544419257262263923e-01,9.914116121841175522e-01,2.548987142978916820e-01,9.913152688818051006e-01
