t_sec,x1_load,x2_load,x3_load,x4_load,x5_load,x6_diff,y_lower_t-1,y_upper_t-1
3540.0,1.457248,1.880064,2.021123,1.587457,1.095559,4.904520000000005,538.3438,524.3047
3600.0,1.452185,1.875362,2.016059,1.582755,1.09158,4.918970000000002,538.3438,524.3047
3660.0,1.447121,1.871021,2.011357,1.578414,1.087601,4.933450000000001,538.3438,524.3047
3720.0,1.441334,1.865958,2.005932,1.572266,1.084346,4.962380000000003,538.4414,524.3047
3780.0,1.436994,1.860171,2.000506,1.568649,1.081091,4.991309999999999,538.4414,524.3047
3840.0,1.43193,1.855107,1.995081,1.5625,1.077112,4.976840000000003,538.3438,524.3047
3900.0,1.426505,1.84932,1.990379,1.557798,1.072049,4.976849999999999,538.4414,524.3047
3960.0,1.421079,1.844618,1.987124,1.551649,1.067708,5.0057899999999975,538.4414,524.3047
4020.0,1.414931,1.838469,1.981698,1.544415,1.062283,5.034710000000004,538.4414,524.3047
4080.0,1.409143,1.833044,1.976997,1.536458,1.056858,4.918979999999998,538.3438,524.3047
4140.0,1.402995,1.827257,1.969763,1.529225,1.051794,5.049190000000003,538.3438,524.3047
4200.0,1.397931,1.821832,1.964699,1.520906,1.046369,5.03472,538.3438,524.3047
4260.0,1.393229,1.816045,1.958912,1.516204,1.04022,5.063650000000003,538.3438,524.3047
4320.0,1.386719,1.810619,1.954572,1.512948,1.034433,4.94791,538.3438,524.3047
4380.0,1.381655,1.805194,1.94987,1.514757,1.029369,4.991319999999995,538.3438,524.207
4440.0,1.375506,1.799407,1.944444,1.514034,1.024667,5.10707,538.3438,524.207
4500.0,1.369719,1.79362,1.937211,1.508608,1.019965,5.13599,538.3438,524.207
4560.0,1.363209,1.787109,1.931062,1.502098,1.01454,5.0057899999999975,538.2461,524.207
4620.0,1.358507,1.781684,1.925998,1.495587,1.009476,4.991320000000002,538.2461,524.207
4680.0,1.353443,1.776259,1.919488,1.490162,1.005859,5.020250000000004,538.2461,524.207
4740.0,1.348018,1.770833,1.915509,1.48546,1.002604,5.020249999999997,538.2461,524.207
4800.0,1.342592,1.765046,1.912254,1.481482,0.9971789,5.034729999999996,538.2461,524.207
4860.0,1.336806,1.759983,1.906105,1.477503,0.9928385,5.049190000000003,538.2461,524.207
4920.0,1.332104,1.754919,1.899957,1.473524,0.9877748,5.092589999999994,538.2461,524.207
4980.0,1.327402,1.750579,1.894531,1.469184,0.9830729,5.092599999999997,538.2461,524.1094
5040.0,1.3227,1.744792,1.889467,1.465567,0.9787326,5.13599,538.2461,524.1094
5100.0,1.317998,1.74009,1.885127,1.462674,0.974754,5.251739999999998,538.2461,524.1094
5160.0,1.313658,1.735388,1.880787,1.459418,0.9700521,5.353009999999998,538.2461,524.1094
5220.0,1.309679,1.731771,1.877532,1.455802,0.9664351,5.3674800000000005,538.2461,524.1094
5280.0,1.305339,1.727069,1.871745,1.452546,0.9620949,5.410879999999999,538.1484,524.1094
5340.0,1.300637,1.722367,1.867043,1.450014,0.9581164,5.410870000000003,538.2461,524.1094
5400.0,1.29702,1.718388,1.862702,1.447121,0.9541377,5.46875,538.2461,524.1094
5460.0,1.293041,1.71441,1.860533,1.443504,0.9501591,5.2951400000000035,538.2461,524.1094
5520.0,1.287977,1.708984,1.85583,1.440972,0.9465423,5.353009999999998,538.2461,524.1094
5580.0,1.283637,1.704644,1.852214,1.437717,0.942202,5.46875,538.2461,524.1094
5640.0,1.279297,1.69958,1.846065,1.435185,0.9389467,5.497690000000006,538.2461,524.1094
5700.0,1.275318,1.694878,1.84281,1.43193,0.9346065,5.5844999999999985,538.2461,524.1094
5760.0,1.270616,1.690538,1.835214,1.429036,0.9309896,5.4398200000000045,538.2461,524.1094
5820.0,1.265914,1.685475,1.833406,1.426866,0.9262877,5.46875,538.1484,524.1094
5880.0,1.260489,1.680773,1.827619,1.424335,0.9226707,5.627890000000001,538.1484,524.1094
5940.0,1.257234,1.676071,1.822917,1.421079,0.9190539,5.584489999999995,538.1484,524.1094
6000.0,1.25434,1.672454,1.819661,1.417824,0.916522,5.64237,538.1484,524.1094
6060.0,1.250723,1.668837,1.816406,1.415654,0.9129051,5.627899999999997,538.1484,524.1094
6120.0,1.246383,1.664858,1.812066,1.41276,0.9089265,5.613419999999998,538.1484,524.1094
6180.0,1.24349,1.661965,1.808811,1.409867,0.906033,5.656829999999999,538.1484,524.1094
6240.0,1.240958,1.658348,1.807002,1.406612,0.9027778,5.5700199999999995,538.1484,524.1094
6300.0,1.238064,1.655454,1.8023,1.403357,0.8998842,5.642360000000004,538.1484,524.1094
6360.0,1.235171,1.652199,1.799045,1.40191,0.8969908,5.700229999999998,538.1484,524.1094
6420.0,1.231915,1.649306,1.797598,1.398655,0.8937355,5.72916,538.0508,524.1094
6480.0,1.200449,1.525608,1.587457,1.344039,0.9371383,6.958919999999999,538.0508,524.1094
6540.0,1.264829,1.730686,1.839554,1.423611,0.952691,7.8125,538.0508,524.1094
6600.0,1.625072,1.975188,2.077185,1.662688,1.279297,177.21355,537.9531,524.0117
6660.0,1.492694,1.871021,2.130715,1.710431,1.230107,166.13141000000002,584.2422,563.0742
6720.0,1.531756,1.891276,2.00557,1.548033,1.207321,147.25114,658.4609,635.7305
6780.0,1.487268,1.877532,2.046441,1.696325,1.231192,141.55095,733.3633,710.6328
6840.0,1.574436,1.990379,2.164352,1.628327,1.265553,137.97743,807.875,785.8282
6900.0,1.650752,2.107928,2.420428,1.960359,1.392867,136.41492,883.2656,861.2188
6960.0,1.606626,1.92419,2.08478,1.679688,1.233724,137.38425,934.3399,912.293
7020.0,1.529586,1.812428,1.886936,1.718027,1.259766,127.58966000000001,1003.773,982.0195
7080.0,1.589988,1.937572,2.060185,1.663773,1.226852,141.99939,1078.871,1057.898
7140.0,1.569372,1.910807,1.958912,1.826172,1.342592,142.44792,1154.555,1133.094
7200.0,1.677879,2.106843,2.162905,1.833406,1.367188,143.90909,1230.141,1208.191
7260.0,1.658348,1.995804,2.071398,1.937211,1.468461,154.5284,1290.199,1268.055
7320.0,1.612413,1.946253,2.077546,1.790003,1.284361,137.26855999999998,1349.965,1327.625
7380.0,1.787471,2.197989,2.284071,1.841001,1.420356,141.44968,1424.672,1403.016
7440.0,1.766855,2.153501,2.270327,1.834129,1.423611,141.42073,1445.473,1423.914
7500.0,1.760706,2.137587,2.26237,1.828342,1.416377,141.79688,1445.57,1423.914
7560.0,1.756366,2.126013,2.256221,1.82364,1.409867,142.17302,1445.57,1423.914
7620.0,1.751664,2.116609,2.249711,1.820023,1.402633,142.53470000000002,1445.57,1423.914
7680.0,1.746238,2.107567,2.244285,1.815683,1.394676,142.72285,1445.57,1423.914
7740.0,1.741175,2.099609,2.238137,1.812066,1.386719,142.75173999999998,1445.57,1423.914
