t_sec,x1_load,x2_load,x3_load,x4_load,x5_load,x6_diff,y_lower_t-1,y_upper_t-1,y_lower_t-2,y_upper_t-2,y_lower_t-3,y_upper_t-3,dt_current,dt_prev,dt_prev2,y_lower,y_upper,C组推进压力,E组推进压力
26580.0,1.623626,1.90068,2.268518,1.811704,1.353443,160.5903,733.7539,707.1172,668.3242,642.0781,606.5078,582.6055,60.0,60.0,60.0,802.6016,775.2813,210.6337,50.0434
26640.0,1.552734,1.908275,2.148799,1.739728,1.288339,153.79055,802.6016,775.2813,733.7539,707.1172,668.3242,642.0781,60.0,60.0,60.0,868.7148,841.1993,204.6152,50.82465
26700.0,1.762876,2.063802,2.21101,1.825087,1.414207,161.25576,868.7148,841.1993,802.6016,775.2813,733.7539,707.1172,60.0,60.0,60.0,936.0,907.8985,211.9068,50.65104
26760.0,1.711878,2.120587,2.362558,1.863788,1.428313,159.54863,936.0,907.8985,868.7148,841.1993,802.6016,775.2813,60.0,60.0,60.0,971.8398,944.6172,213.18,53.63137
26820.0,1.715133,2.119864,2.265263,1.848235,1.380932,174.62384,971.8398,944.6172,936.0,907.8985,868.7148,841.1993,60.0,60.0,60.0,1039.125,1011.023,221.9618,47.33796
26880.0,1.656901,2.001953,2.180628,1.839916,1.395761,166.10243,1039.125,1011.023,971.8398,944.6172,936.0,907.8985,60.0,60.0,60.0,1106.117,1077.527,212.9485,46.84607
26940.0,1.792896,2.168692,2.341942,1.91985,1.4898,164.84379,1106.117,1077.527,1039.125,1011.023,971.8398,944.6172,60.0,60.0,60.0,1172.816,1144.227,211.9358,47.09201
27000.0,1.612775,1.925998,2.05476,1.815321,1.329933,147.65621000000002,1172.816,1144.227,1106.117,1077.527,1039.125,1011.023,60.0,60.0,60.0,1239.711,1211.805,193.8223,46.16609
27120.0,1.741898,2.119502,2.272135,1.875,1.451823,151.28763,1239.711,1211.805,1172.816,1144.227,1106.117,1077.527,120.0,60.0,60.0,1344.203,1316.981,203.9786,52.69097
27180.0,1.737558,2.072121,2.222222,1.798683,1.479311,156.66953,1344.203,1316.981,1239.711,1211.805,1172.816,1144.227,60.0,120.0,60.0,1411.781,1384.363,208.7384,52.06887
27240.0,1.753834,2.201967,2.32458,1.865958,1.425781,154.31133,1411.781,1384.363,1344.203,1316.981,1239.711,1211.805,60.0,60.0,120.0,1478.383,1451.16,206.4236,52.11227
27300.0,1.662688,2.144459,2.191117,1.802662,1.470992,163.64293,1478.383,1451.16,1411.781,1384.363,1344.203,1316.981,60.0,60.0,60.0,1545.082,1517.469,215.842,52.19907
27360.0,1.8023,2.112268,2.221137,1.84498,1.452185,163.78763,1545.082,1517.469,1478.383,1451.16,1411.781,1384.363,60.0,60.0,60.0,1611.684,1583.973,215.2778,51.49017
27420.0,1.776259,2.072844,2.210648,1.757451,1.340061,165.2054,1611.684,1583.973,1545.082,1517.469,1478.383,1451.16,60.0,60.0,60.0,1677.602,1649.207,216.7245,51.5191
27540.0,1.524884,1.85149,2.139757,1.863064,1.424335,143.7211,1677.602,1649.207,1611.684,1583.973,1545.082,1517.469,120.0,60.0,60.0,1742.348,1715.125,195.2836,51.5625
27600.0,1.66739,1.974826,2.184968,1.95421,1.464482,154.06536,1742.348,1715.125,1677.602,1649.207,1611.684,1583.973,60.0,120.0,60.0,1808.363,1781.336,204.3113,50.24594
27660.0,1.781322,2.003762,2.284433,1.869213,1.484375,160.21417,1808.363,1781.336,1742.348,1715.125,1677.602,1649.207,60.0,60.0,120.0,1875.453,1847.352,208.5938,48.37963
27720.0,1.813874,2.047888,2.220776,1.881149,1.549479,145.08101000000002,1875.453,1847.352,1808.363,1781.336,1742.348,1715.125,60.0,60.0,60.0,1940.883,1913.66,193.2581,48.17709
27780.0,1.667752,2.0034,2.226563,1.851852,1.443866,138.17999,1940.883,1913.66,1875.453,1847.352,1808.363,1781.336,60.0,60.0,60.0,2007.289,1980.848,186.8779,48.69791
36060.0,1.737196,2.06344,2.316262,1.970486,1.523799,127.06884000000001,746.1563,679.1875,680.8242,614.0508,621.1563,555.1641,60.0,60.0,60.0,809.5352,744.7148,193.1134,66.04456
36120.0,1.669922,2.004485,2.187138,1.827619,1.371166,132.08914,809.5352,744.7148,746.1563,679.1875,680.8242,614.0508,60.0,60.0,60.0,875.4531,810.8281,190.2344,58.14526
36180.0,1.690538,2.018229,2.180266,1.945891,1.486545,136.74773000000002,875.4531,810.8281,809.5352,744.7148,746.1563,679.1875,60.0,60.0,60.0,938.7344,873.914,195.6887,58.94097
36240.0,1.784939,2.130715,2.371962,1.931424,1.449291,117.0862,938.7344,873.914,875.4531,810.8281,809.5352,744.7148,60.0,60.0,60.0,975.0625,911.0234,173.9583,56.8721
36300.0,1.649667,1.946253,2.124928,1.846065,1.442057,130.13598000000002,975.0625,911.0234,938.7344,873.914,875.4531,810.8281,60.0,60.0,60.0,1039.125,975.0859,190.8854,60.74942
36360.0,1.761429,2.141565,2.298177,1.826172,1.351635,143.99597999999997,1039.125,975.0859,975.0625,911.0234,938.7344,873.914,60.0,60.0,60.0,1104.555,1041.004,192.2454,48.24942
36420.0,1.669198,1.985315,2.158203,1.898872,1.447483,146.02139999999997,1104.555,1041.004,1039.125,975.0859,975.0625,911.0234,60.0,60.0,60.0,1166.762,1102.918,193.5185,47.4971
36480.0,1.707176,2.21752,2.332899,1.858724,1.391783,146.39759,1166.762,1102.918,1104.555,1041.004,1039.125,975.0859,60.0,60.0,60.0,1227.797,1164.246,194.9653,48.56771
36540.0,1.709708,2.021846,2.199074,1.789641,1.471716,146.97623,1227.797,1164.246,1166.762,1102.918,1104.555,1041.004,60.0,60.0,60.0,1292.445,1228.309,195.4282,48.45197
36660.0,1.766131,2.076823,2.259838,1.846788,1.464482,148.58213999999998,1292.445,1228.309,1227.797,1164.246,1166.762,1102.918,120.0,60.0,60.0,1401.332,1337.293,199.4936,50.91146
36720.0,1.858001,2.226924,2.460938,1.967592,1.563585,144.57465000000002,1401.332,1337.293,1292.445,1228.309,1227.797,1164.246,60.0,120.0,60.0,1469.496,1405.945,205.353,60.77835
36780.0,1.792896,2.045356,2.233073,1.771557,1.439164,144.38657,1469.496,1405.945,1401.332,1337.293,1292.445,1228.309,60.0,60.0,120.0,1539.613,1476.746,204.1956,59.80903
36840.0,1.694878,2.036675,2.485171,1.853299,1.445674,150.18806,1539.613,1476.746,1469.496,1405.945,1401.332,1337.293,60.0,60.0,60.0,1610.902,1548.23,208.0295,57.84144
36900.0,1.832321,2.136863,2.405237,1.780237,1.501736,151.27311,1610.902,1548.23,1539.613,1476.746,1469.496,1405.945,60.0,60.0,60.0,1682.484,1619.031,208.912,57.63889
37080.0,2.014612,2.290582,2.64974,2.097801,1.708623,168.20027000000002,1682.484,1619.031,1610.902,1548.23,1539.613,1476.746,180.0,60.0,60.0,1760.024,1696.18,218.7211,50.52083
37140.0,1.826172,2.164714,2.458767,1.950232,1.491247,158.17419,1760.024,1696.18,1682.484,1619.031,1610.902,1548.23,60.0,180.0,60.0,1827.992,1763.172,204.6441,46.46991
37200.0,1.899595,2.273944,2.511936,1.966869,1.584563,165.36458,1827.992,1763.172,1760.024,1696.18,1682.484,1619.031,60.0,60.0,180.0,1898.598,1833.582,211.4294,46.06482
37260.0,1.702112,2.094546,2.358941,1.770472,1.368634,107.47978,1898.598,1833.582,1827.992,1763.172,1760.024,1696.18,60.0,60.0,60.0,1968.715,1905.945,167.5637,60.08392
